Site Name,Site ID,Sample Date,Lab Sample ID,Time Collected,Time Delivered To Lab,Duplicate,Wet Weather?,Within holding time(6 hrs)?,Preservation temperature (deg C),Preservation ~4 deg C,Volume (mL),MPN/100mL Undiluted Sample,Lab,Analyst,Monitoring Org,Comments
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,6/14/2023,CT-CTR_038.4,8:55:00,11:30:00,N,Y,Y,4,Y,100,2,USJ,Devan Fox,CRC,
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,6/21/2023,CT-CTR_038.4,9:00:00,11:30:00,N,N,Y,4,Y,100,37.7,USJ,Devan Fox,CRC,
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,6/28/2023,CT-CTR_038.4,9:50:00,11:25:00,N,Y,Y,4,Y,100,107.1,USJ,Devan Fox,CRC,
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,7/5/2023,CT-CTR_038.4,8:45:00,11:20:00,N,Y,Y,4,Y,100,866.4,USJ,Devan Fox,CRC,
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,7/26/2023,CT-CTR_038.4,8:30:00,11:30:00,N,Y,Y,4,Y,100,187.3,USJ,Kirsten Martin,CRC,Tray was not completely full with sample
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,8/2/2023,CT-CTR_038.4,8:30:00,11:55:00,N,N,Y,4,Y,100,56.5,USJ,Kirsten Martin,CRC,
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,8/9/2023,CT-CTR_038.4,8:45:00,11:15:00,N,Y,Y,4,Y,100,18.5,USJ,Kirsten Martin,CRC,
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,8/16/2023,CT-CTR_038.4,8:45:00,11:45:00,N,Y,Y,4,Y,100,920.8,USJ,Kirsten Martin,CRC,
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,8/23/2023,CT-CTR_038.4,8:20:00,12:40:00,N,N,Y,4,Y,100,31.3,USJ,Kirsten Martin,CRC,
"Connecticut River at Rocky Hill, Rocky Hill Boat Launch",CT-CTR_038.4,8/30/2023,CT-CTR_038.4,8:40:00,12:15:00,N,N,Y,4,Y,100,72.8,USJ,Kirsten Martin,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,6/7/2023,CT-CTR_043.7,9:15:00,11:30:00,N,N,Y,4,Y,100,9.5,USJ,Kirsten Martin,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,6/14/2023,CT-CTR_043.7,9:45:00,11:30:00,N,Y,Y,4,Y,100,5.2,USJ,Devan Fox,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,6/21/2023,CT-CTR_043.7,9:30:00,11:30:00,N,N,Y,4,Y,100,27.8,USJ,Devan Fox,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,6/28/2023,CT-CTR_043.7,10:10:00,11:25:00,N,Y,Y,4,Y,100,178.5,USJ,Devan Fox,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,7/5/2023,CT-CTR_043.7,9:25:00,11:20:00,N,Y,Y,4,Y,100,727,USJ,Devan Fox,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,7/26/2023,CT-CTR_043.7,8:50:00,11:30:00,N,Y,Y,4,Y,100,2419.6,USJ,Kirsten Martin,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,8/2/2023,CT-CTR_043.7,9:20:00,11:55:00,N,N,Y,4,Y,100,51.2,USJ,Kirsten Martin,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,8/9/2023,CT-CTR_043.7,9:25:00,11:15:00,N,Y,Y,4,Y,100,9.5,USJ,Kirsten Martin,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,8/16/2023,CT-CTR_043.7,9:10:00,11:45:00,N,Y,Y,4,Y,100,488.4,USJ,Kirsten Martin,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,8/23/2023,CT-CTR_043.7,9:00:00,12:40:00,N,N,Y,4,Y,100,26.2,USJ,Kirsten Martin,CRC,
"Connecticut River at Glastonbury, Dock at Glastonbury Boat Launch",CT-CTR_043.7,8/30/2023,CT-CTR_043.7,9:20:00,12:15:00,N,N,Y,4,Y,100,51.2,USJ,Kirsten Martin,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,6/7/2023,CT-CTR_048.9,10:00:00,11:30:00,N,N,Y,4,Y,100,17.7,USJ,Kirsten Martin,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,6/14/2023,CT-CTR_048.9,10:15:00,11:30:00,N,Y,Y,4,Y,100,11.8,USJ,Devan Fox,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,6/21/2023,CT-CTR_048.9,10:00:00,11:30:00,N,N,Y,4,Y,100,43.5,USJ,Devan Fox,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,6/28/2023,CT-CTR_048.9,10:30:00,11:25:00,N,Y,Y,4,Y,100,185,USJ,Devan Fox,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,7/5/2023,CT-CTR_048.9,10:00:00,11:20:00,N,Y,Y,4,Y,100,238.2,USJ,Devan Fox,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,7/26/2023,CT-CTR_048.9,9:10:00,11:30:00,N,Y,Y,4,Y,100,1986.3,USJ,Kirsten Martin,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,8/2/2023,CT-CTR_048.9,10:10:00,11:55:00,N,N,Y,4,Y,100,35.9,USJ,Kirsten Martin,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,8/9/2023,CT-CTR_048.9,9:50:00,11:15:00,N,Y,Y,4,Y,100,21.1,USJ,Kirsten Martin,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,8/16/2023,CT-CTR_048.9,9:40:00,11:45:00,N,Y,Y,4,Y,100,547.5,USJ,Kirsten Martin,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,8/23/2023,CT-CTR_048.9,10:00:00,12:40:00,N,N,Y,4,Y,100,24.6,USJ,Kirsten Martin,CRC,
"Connecticut River at East Hartford, Dock at Great River Park",CT-CTR_048.9,8/30/2023,CT-CTR_048.9,9:35:00,12:15:00,N,N,Y,4,Y,100,45.9,USJ,Kirsten Martin,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,6/7/2023,CT-CTR_053.0,9:30:00,11:30:00,N,N,Y,4,Y,100,10.6,USJ,Kirsten Martin,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,6/14/2023,CT-CTR_053.0,9:58:00,10:30:00,N,Y,Y,4,Y,100,43.3,USJ,Devan Fox,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,6/21/2023,CT-CTR_053.0,10:02:00,10:30:00,N,N,Y,4,Y,100,141.4,USJ,Devan Fox,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,6/28/2023,CT-CTR_053.0,9:40:00,10:15:00,N,Y,Y,4,Y,100,290.9,USJ,Devan Fox,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,7/5/2023,CT-CTR_053.0,9:50:00,10:40:00,N,Y,Y,4,Y,100,325.5,USJ,Devan Fox,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,7/26/2023,CT-CTR_053.0,11:15:00,11:30:00,N,Y,Y,4,Y,100,1553.1,USJ,Kirsten Martin,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,8/2/2023,CT-CTR_053.0,11:15:00,11:55:00,N,N,Y,4,Y,100,45,USJ,Kirsten Martin,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,8/9/2023,CT-CTR_053.0,9:45:00,11:15:00,N,Y,Y,4,Y,100,9.5,USJ,Kirsten Martin,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,8/16/2023,CT-CTR_053.0,8:45:00,11:45:00,N,Y,Y,4,Y,100,249.5,USJ,Kirsten Martin,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,8/23/2023,CT-CTR_053.0,9:50:00,10:20:00,N,N,Y,4,Y,100,43.5,USJ,Kirsten Martin,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,8/30/2023,CT-CTR_053.0,8:55:00,9:40:00,N,N,Y,4,Y,100,35.9,USJ,Kirsten Martin,CRC,
Connecticut River at Windsor Meadows State Park,CT-CTR_053.0,8/30/2023,CQC,8:55:00,9:40:00,N,N,Y,4,Y,100,<1.0,USJ,Kirsten Martin,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,6/7/2023,CT-WFC_00.1,10:15:00,11:30:00,N,N,Y,4,Y,100,7.3,USJ,Kirsten Martin,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,6/14/2023,CT-WFC_00.1,10:35:00,11:30:00,N,Y,Y,4,Y,100,5.1,USJ,Devan Fox,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,6/21/2023,CT-WFC_00.1,10:25:00,10:30:00,N,N,Y,4,Y,100,22.6,USJ,Devan Fox,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,6/28/2023,CT-WFC_00.1,10:50:00,11:25:00,N,Y,Y,4,Y,100,66.9,USJ,Devan Fox,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,7/5/2023,CT-WFC_00.1,10:30:00,11:20:00,N,Y,Y,4,Y,100,151.5,USJ,Devan Fox,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,7/26/2023,CT-WFC_00.1,10:20:00,11:30:00,N,Y,Y,4,Y,100,128.7,USJ,Kirsten Martin,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,8/2/2023,CT-WFC_00.1,10:45:00,11:55:00,N,N,Y,4,Y,100,32.7,USJ,Kirsten Martin,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,8/9/2023,CT-WFC_00.1,10:15:00,11:15:00,N,Y,Y,4,Y,100,250,USJ,Kirsten Martin,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,8/16/2023,CT-WFC_00.1,10:00:00,11:45:00,N,Y,Y,4,Y,100,115.9,USJ,Kirsten Martin,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,8/23/2023,CT-WFC_00.1,10:20:00,12:40:00,N,N,Y,4,Y,100,53.8,USJ,Kirsten Martin,CRC,
Wethersfield Cove at Cove Park Docks,CT-WFC_00.1,8/30/2023,CT-WFC_00.1,10:05:00,12:15:00,N,N,Y,4,Y,100,56,USJ,Kirsten Martin,CRC,
Banas Farm-Ware R,CWBF1,6/8/2023,23-02-20,7:38:00,10:20:00,N,N,Y,6.1,N,100,65.7,CRC Lab,Langley,C4RC,0
Banas Farm-Ware R,CWBF1,6/22/2023,23-06-19,7:38:00,10:35:00,N,N,Y,6.4,N,100,42,CRC Lab,Langley,C4RC,0
Banas Farm-Ware R,CWBF1,7/6/2023,23-10-18,7:41:00,10:20:00,N,N,Y,8,N,100,156.5,CRC Lab,Langley,C4RC,0
Banas Farm-Ware R,CWBF1,7/20/2023,23-13-18,7:43:00,10:45:00,N,Y,Y,7.1,N,100,150,CRC Lab,Langley,C4RC,0
Banas Farm-Ware R,CWBF1,8/10/2023,23-19-19,7:46:00,10:30:00,N,Y,Y,5.6,N,100,81.3,CRC Lab,Langley,C4RC,0
Banas Farm-Ware R,CWBF1,8/24/2023,23-23-19,8:35:00,11:00:00,N,N,Y,4.9,N,100,90.6,CRC Lab,Alden Dumas,C4RC,0
Banas Farm-Ware R,CWBF1,9/7/2023,23-27-44,7:45:00,10:25:00,N,N,Y,6.2,N,100,73.8,CRC Lab,Langley,C4RC,0
Ware-Church St,CWCS1,6/8/2023,23-02-18,6:55:00,10:20:00,N,N,Y,5.1,N,100,95.9,CRC Lab,Langley,C4RC,0
Ware-Church St,CWCS1,6/22/2023,23-06-17,7:25:00,10:35:00,N,N,Y,6.9,N,100,68.3,CRC Lab,Langley,C4RC,0
Ware-Church St,CWCS1,7/6/2023,23-10-16,7:44:00,10:20:00,N,N,Y,6.9,N,100,193.5,CRC Lab,Langley,C4RC,0
Ware-Church St,CWCS1,7/20/2023,23-13-16,7:35:00,10:45:00,N,Y,Y,3.8,Y,100,113.7,CRC Lab,Langley,C4RC,0
Ware-Church St,CWCS1,8/10/2023,23-19-17,7:46:00,10:30:00,N,Y,Y,4.2,N,100,67.7,CRC Lab,Langley,C4RC,0
Ware-Church St,CWCS1,8/24/2023,23-23-17,7:40:00,11:00:00,N,N,Y,4.4,N,100,142.1,CRC Lab,Alden Dumas,C4RC,0
Ware-Church St,CWCS1,9/7/2023,23-27-42,7:50:00,10:25:00,N,N,Y,5.7,N,100,151.5,CRC Lab,Langley,C4RC,0
Danforth Brook-,CWDB1,6/8/2023,23-02-23,7:16:00,10:20:00,N,N,Y,6.3,N,100,55.6,CRC Lab,Langley,C4RC,0
Danforth Brook-,CWDB1,6/22/2023,23-06-21,7:26:00,10:35:00,N,N,Y,5.7,N,100,101.4,CRC Lab,Langley,C4RC,0
Danforth Brook-,CWDB1,7/6/2023,23-10-20,7:46:00,10:20:00,N,N,Y,4.6,N,100,113.7,CRC Lab,Langley,C4RC,0
Danforth Brook-,CWDB1,7/20/2023,23-13-20,7:13:00,10:45:00,N,Y,Y,6.9,N,100,387.3,CRC Lab,Langley,C4RC,0
Danforth Brook-,CWDB1,8/10/2023,23-19-21,7:12:00,10:30:00,N,Y,Y,4.9,N,100,121.1,CRC Lab,Langley,C4RC,0
Danforth Brook-,CWDB1,8/24/2023,23-23-21,7:27:00,11:00:00,N,N,Y,4.1,N,100,45.9,CRC Lab,Alden Dumas,C4RC,0
Ware-Danforth Brook-M,CWDB2,6/8/2023,23-02-24,7:05:00,10:20:00,N,N,Y,5.9,N,100,32.8,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-M,CWDB2,6/22/2023,23-06-22,7:17:00,10:35:00,N,N,Y,6.7,N,100,53.7,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-M,CWDB2,7/6/2023,23-10-21,7:41:00,10:20:00,N,N,Y,3.9,Y,100,26.2,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-M,CWDB2,7/20/2023,23-13-21,7:08:00,10:45:00,N,Y,Y,6.4,N,100,56.5,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-M,CWDB2,8/10/2023,23-19-22,7:00:00,10:30:00,N,Y,Y,5.8,N,100,137.6,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-M,CWDB2,8/24/2023,23-23-22,7:18:00,11:00:00,N,N,Y,3.9,Y,100,206.4,CRC Lab,Alden Dumas,C4RC,0
Ware-Danforth Brook-U,CWDB3,6/8/2023,23-02-25,6:58:00,10:20:00,N,N,Y,5.8,N,100,67,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-U,CWDB3,6/22/2023,23-06-23,7:10:00,10:35:00,N,N,Y,5.1,N,100,41.4,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-U,CWDB3,7/6/2023,23-10-22,7:30:00,10:20:00,N,N,Y,4.6,N,100,32.7,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-U,CWDB3,7/20/2023,23-13-22,6:57:00,10:45:00,N,Y,Y,5.8,N,100,69.1,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-U,CWDB3,8/10/2023,23-19-23,6:45:00,10:30:00,N,Y,Y,4.9,N,100,56.3,CRC Lab,Langley,C4RC,0
Ware-Danforth Brook-U,CWDB3,8/24/2023,23-23-23,7:05:00,11:00:00,N,N,Y,4.6,N,100,35.9,CRC Lab,Alden Dumas,C4RC,0
Forest Lake,CWFL1,6/8/2023,23-02-22,7:05:00,10:20:00,N,N,Y,6.6,N,100,1,CRC Lab,Langley,C4RC,0
Forest Lake,CWFL1,6/22/2023,23-06-20,7:30:00,10:35:00,N,N,Y,7.1,N,100,1,CRC Lab,Langley,C4RC,0
Forest Lake,CWFL1,7/6/2023,23-10-19,7:30:00,10:20:00,N,N,Y,3.8,Y,100,125.9,CRC Lab,Langley,C4RC,0
Forest Lake,CWFL1,7/20/2023,23-13-19,7:40:00,10:45:00,N,Y,Y,6.9,N,100,15.8,CRC Lab,Langley,C4RC,0
Forest Lake,CWFL1,8/10/2023,23-19-20,7:45:00,10:30:00,N,Y,Y,5.4,N,100,5.2,CRC Lab,Langley,C4RC,0
Forest Lake,CWFL1,8/24/2023,23-23-20,7:30:00,11:00:00,N,N,Y,6.3,N,100,248.1,CRC Lab,Alden Dumas,C4RC,0
Forest Lake,CWFL1,9/7/2023,23-27-45,7:30:00,10:25:00,N,N,Y,6.7,N,100,19.9,CRC Lab,Langley,C4RC,0
Ware R - Grenville Park ,CWGP1,6/8/2023,23-02-19,8:00:00,10:20:00,N,N,Y,5.9,N,100,52,CRC Lab,Langley,C4RC,0
Ware R - Grenville Park ,CWGP1,6/22/2023,23-06-18,7:15:00,10:35:00,N,N,Y,4.9,N,100,73.3,CRC Lab,Langley,C4RC,0
Ware R - Grenville Park ,CWGP1,7/6/2023,23-10-17,7:15:00,10:20:00,N,N,Y,5.5,N,100,115.3,CRC Lab,Langley,C4RC,0
Ware R - Grenville Park ,CWGP1,7/20/2023,23-13-17,8:09:00,10:45:00,N,Y,Y,6.6,N,100,96,CRC Lab,Langley,C4RC,0
Ware R - Grenville Park ,CWGP1,8/10/2023,23-19-18,8:05:00,10:30:00,N,Y,Y,5.5,N,100,80.5,CRC Lab,Langley,C4RC,0
Ware R - Grenville Park ,CWGP1,8/24/2023,23-23-18,7:20:00,11:00:00,N,N,Y,4.3,N,100,156.5,CRC Lab,Alden Dumas,C4RC,0
Ware R - Grenville Park ,CWGP1,9/7/2023,23-27-43,7:35:00,10:25:00,N,N,Y,5.4,N,100,139.6,CRC Lab,Langley,C4RC,0
Ware R - Old Furnace,CWOF1,6/8/2023,23-02-16,7:12:00,10:20:00,N,N,Y,5.8,N,100,104.6,CRC Lab,Langley,C4RC,0
Ware R - Old Furnace,CWOF1,6/22/2023,23-06-16,6:55:00,10:35:00,N,N,Y,5.1,N,100,69.7,CRC Lab,Langley,C4RC,0
Ware R - Old Furnace,CWOF1,7/6/2023,23-10-15,7:19:00,10:20:00,N,N,Y,6.1,N,100,124.6,CRC Lab,Langley,C4RC,0
Ware R - Old Furnace,CWOF1,7/20/2023,23-13-15,7:16:00,10:45:00,N,Y,Y,4.1,N,100,74.9,CRC Lab,Langley,C4RC,0
Ware R - Old Furnace,CWOF1,8/10/2023,23-19-16,7:15:00,10:30:00,N,Y,Y,4.2,N,100,59.4,CRC Lab,Langley,C4RC,0
Ware R - Old Furnace,CWOF1,8/24/2023,23-23-16,7:14:00,11:00:00,N,N,Y,3.8,Y,100,108.1,CRC Lab,Alden Dumas,C4RC,0
Ware R - Old Furnace,CWOF1,9/7/2023,23-27-41,7:28:00,10:25:00,N,N,Y,4.8,N,100,93.4,CRC Lab,Langley,C4RC,0
State St,CWSS1,6/8/2023,23-02-21,7:10:00,10:20:00,N,N,Y,6.7,N,100,104.6,CRC Lab,Langley,C4RC,0
State St,CWSS1,6/22/2023,23-06-24,7:33:00,10:35:00,N,N,Y,7.2,N,100,71.7,CRC Lab,Langley,C4RC,0
State St,CWSS1,7/6/2023,23-10-24,8:10:00,10:20:00,N,N,Y,5.1,N,100,167,CRC Lab,Langley,C4RC,0
State St,CWSS1,7/20/2023,23-13-23,7:30:00,10:45:00,N,Y,Y,6.2,N,100,114.5,CRC Lab,Langley,C4RC,0
State St,CWSS1,8/10/2023,23-19-25,7:20:00,10:30:00,N,Y,Y,5.1,N,100,95.9,CRC Lab,Langley,C4RC,0
State St,CWSS1,8/24/2023,23-23-27,7:42:00,11:00:00,N,N,Y,5.8,N,100,93.3,CRC Lab,Alden Dumas,C4RC,0
State St,CWSS1,9/7/2023,23-27-48,7:34:00,10:25:00,N,N,Y,5.1,N,100,79.4,CRC Lab,Langley,C4RC,0
Ware River Park-Above New Furnace,CWWRP1,6/8/2023,23-02-17,7:28:00,10:20:00,N,N,Y,5.6,N,100,101.2,CRC Lab,Langley,C4RC,0
Ware River Park-Above New Furnace,CWWRP1,6/22/2023,23-06-32,7:18:00,10:35:00,N,N,Y,5.2,N,100,125.9,CRC Lab,Langley,C4RC,0
Ware River Park-Above New Furnace,CWWRP1,7/6/2023,23-10-23,7:34:00,10:20:00,N,N,Y,4.1,N,100,113,CRC Lab,Langley,C4RC,0
Ware River Park-Above New Furnace,CWWRP1,7/20/2023,23-13-25,7:40:00,10:45:00,N,Y,Y,4.6,N,100,90.9,CRC Lab,Langley,C4RC,0
Ware River Park-Above New Furnace,CWWRP1,8/10/2023,23-19-24,7:00:00,10:30:00,N,Y,Y,5.3,N,100,72.3,CRC Lab,Langley,C4RC,0
Ware River Park-Above New Furnace,CWWRP1,9/7/2023,23-27-49,7:38:00,10:25:00,N,N,Y,4.2,N,100,155.3,CRC Lab,Langley,C4RC,0
"Scantic River, Powder Hollow",E15,6/7/2023,E15,6:42:00,9:30:00,N,N,Y,4,Y,100,198.1,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,6/14/2023,E15,6:50:00,10:20:00,N,Y,Y,4,Y,100,167,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,6/21/2023,E15,6:50:00,9:50:00,N,N,Y,4,Y,100,45.7,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,6/28/2023,E15,8:55:00,10:30:00,N,Y,Y,4,Y,100,148.3,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,7/5/2023,E15,9:32:00,10:30:00,N,Y,Y,4,Y,100,307.6,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,7/12/2023,E15,6:30:00,9:30:00,N,Y,Y,4,Y,100,43.9,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,7/19/2023,E15,9:18:00,10:00:00,N,Y,Y,4,Y,100,1046.2,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,7/26/2023,E15,7:48:00,10:00:00,N,Y,Y,4,Y,100,1046.2,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,8/2/2023,E15,9:37:00,10:35:00,N,N,Y,4,Y,100,96,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,8/9/2023,E15,9:58:00,10:40:00,N,Y,Y,4,Y,100,37.9,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,8/16/2023,E15,1:10:00,2:00:00,N,Y,Y,4,Y,100,50.5,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,8/23/2023,E15,9:38:00,10:20:00,N,N,Y,4,Y,100,80.9,USJ,Kirsten Martin,SRWA,
"Scantic River, Powder Hollow",E15,8/30/2023,E15,7:00:00,8:10:00,N,N,Y,4,Y,100,73.3,USJ,Kirsten Martin,SRWA,
E. Coli Culture QC,EC,6/1/2023,23-01-20,11:30:00,11:30:00,N,N,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,6/1/2023,23-01-23,11:30:00,11:30:00,N,N,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,6/8/2023,23-02-53,11:15:00,11:15:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,6/14/2023,23-03-33,10:30:00,10:30:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,EC
E. Coli Culture QC,EC,6/15/2023,23-04-25,10:20:00,10:20:00,N,NA,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,6/21/2023,23-05-26,11:30:00,11:30:00,N,N,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,DRWA,0
E. Coli Culture QC,EC,6/22/2023,23-06-60,11:00:00,11:00:00,N,N,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,6/28/2023,23-07-36,10:30:00,10:30:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,6/29/2023,23-08-26,10:45:00,10:45:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,7/5/2023,23-09-23,11:00:00,11:00:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,DRWA,0
E. Coli Culture QC,EC,7/6/2023,23-10-52,11:00:00,11:00:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,7/19/2023,23-12-21,10:45:00,10:45:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,DRWA,0
E. Coli Culture QC,EC,7/20/2023,23-13-57,11:00:00,11:00:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,7/26/2023,23-14-34,10:20:00,10:20:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,7/27/2023,23-15-27,10:40:00,10:40:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,8/3/2023,23-17-33,10:10:00,10:10:00,N,N,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,8/9/2023,23-18-41,10:10:00,10:10:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,8/10/2023,23-19-52,10:40:00,10:40:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,8/16/2023,23-20-21,10:30:00,10:30:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,DRWA,0
E. Coli Culture QC,EC,8/17/2023,23-21-28,10:30:00,10:30:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,8/23/2023,23-22-35,10:15:00,10:15:00,N,N,Y,NA,NA,100,> 2419.6,CRC Lab,Alden Dumas,CRC,0
E. Coli Culture QC,EC,8/24/2023,23-23-34,0:00:00,11:00:00,N,N,NA,NA,NA,100,> 2419.6,CRC Lab,Alden Dumas,C4RC,0
E. Coli Culture QC,EC,8/30/2023,23-24-24,10:50:00,10:50:00,N,N,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,DRWA,0
E. Coli Culture QC,EC,8/31/2023,23-25-30,10:20:00,10:20:00,N,Y,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
E. Coli Culture QC,EC,9/6/2023,23-26-32,9:45:00,9:45:00,N,N,Y,NA,NA,100,> 2419.6,CRC Lab,Langley,CRC,0
